Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles,1,Battery_Cell,
BZ1,PinSocket_1x02_P2.00mm_Vertical,1,Buzzer,
"C1, C4",0603,2,10µF,
"C2, C3",0603,2,100 nF,
C5,0603,1,100nF,
D2,0603,1,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,I2C,
J3,PinHeader_1x03_P2.54mm_Vertical,1,LED,
J4,WURTH_693071020811,1,MicroSD,
"R1, R2",0603,2,100R,
"R10, R11, R12, R13, R14, R15, R9",0603,7,47k,
R3,0603,1,10K,
R4,0603,1,20k,
"R5, R6",0603,2,4k7,
"R7, R8",0603,2,NC,
RDM1,RDM6300,1,RDM6300,
"TP1, TP10, TP9",TestPoint_Pad_D1.5mm,3,TestPoint,
TP11,TestPoint_Pad_D1.5mm,1,MOSI,
TP12,TestPoint_Pad_D1.5mm,1,MISO,
TP13,TestPoint_Pad_D1.5mm,1,SPI SCL,
TP14,TestPoint_Pad_D1.5mm,1,DAT1,
TP15,TestPoint_Pad_D1.5mm,1,DAT2,
TP2,TestPoint_Pad_D1.5mm,1,+5V,
TP3,TestPoint_Pad_D1.5mm,1,GND,
TP4,TestPoint_Pad_D1.5mm,1,"3,3V",
TP5_2,TestPoint_Pad_D1.5mm,1,Din,
TP5,TestPoint_Pad_D1.5mm,1,CS,
TP6,TestPoint_Pad_D1.5mm,1,DECT,
TP7,TestPoint_Pad_D1.5mm,1,UART_RX,
TP8,TestPoint_Pad_D1.5mm,1,UART_TX,
U1,XIAO-ESP32C6-SMD,1,XIAO-ESP32-S3-SMD,
U2,SOT95P280X145-5N,1,SN74AHCT1G125DBVT,SN74AHCT1G125DBVT
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
